District,Area,Type,Good,Electricity,Television,Owned,Rented
Araria,District - Araria,Total,32.7,7.7,7.2,98,1.1
Araria,District - Araria,Rural,31.9,4.7,5.4,98.7,0.6
Araria,District - Araria,Urban,45.1,57.8,37.2,86.7,10.1
Araria,Sub-Dist - Araria,Total,36.9,11.5,8.4,97,2
Araria,Sub-Dist - Araria,Rural,35.4,4.5,4,98.6,0.6
Araria,Sub-Dist - Araria,Urban,44.4,48.5,31.3,88.4,9.2
Araria,Pokharia,Rural,70.6,0.2,1.7,99.6,0.1
Araria,Bahgi,Rural,44.8,0,0.9,100,0
Araria,Madanpur,Rural,29.6,5.8,8.2,98.8,0.4
Araria,Bochi,Rural,38.6,0.3,2.7,97.3,1.8
Araria,Gamharia,Rural,4.5,2.6,3.2,100,0
Araria,Kasaila Gachh Garha Bhagkasail,Rural,34.2,0.2,1.4,99.8,0.2
Araria,Sahasmal,Rural,19.8,0.8,3.3,99.4,0.4
Araria,Tarauna,Rural,33.8,0.1,4.8,99.1,0.6
Araria,Phulbari,Rural,18.4,1.7,8.2,99.5,0.2
Araria,Kismat Jamua,Rural,0,0,0,100,0
Araria,Gelhabari,Rural,12,0,1.8,100,0
Araria,Khamgara,Rural,32,0.3,4.5,94.9,0.3
Araria,Jamua,Rural,15.2,0,6,99.7,0.3
Araria,Saranpur,Rural,26.7,0,8.7,95.7,0
Araria,Dabhara Jagir,Rural,3,0,0,100,0
Araria,Dabhra,Rural,7.5,0,25.2,100,0
Araria,Tarabari,Rural,26.2,0.7,13.6,99.2,0.1
Araria,Jitwarpur,Rural,29,0.3,8.9,96.7,0.1
Araria,Bhagpuraini,Rural,54.5,0,12.1,99.7,0.3
Araria,Pategna,Rural,31.3,5.5,7.5,99.1,0.7
Araria,Kismat Khawaspur,Rural,51,1.6,3.6,99.7,0
Araria,Saguna,Rural,7.9,1.9,4.6,97.5,2.5
Araria,Baturbari,Rural,29,1,3.6,99.5,0.1
Araria,Chanrarni,Rural,45.5,10.9,4.2,99.8,0
Araria,Metan,Rural,29.9,0,0,100,0
Araria,Jhamta,Rural,61.8,0,0.5,99.5,0.5
Araria,Mahisakol,Rural,54.9,2.3,1.2,99.2,0.5
Araria,Bansbari,Rural,22,14.6,1,99.5,0
Araria,Samda,Rural,0.5,0,1.1,100,0
Araria,Murbala,Rural,71.8,7,0.2,99.1,0
Araria,Haria,Rural,16.3,3.8,1.3,99.2,0.3
Araria,Bhagmohabbat,Rural,47.4,16.9,2.6,98.5,0.4
Araria,Majkuri,Rural,60.1,27.4,3.6,94.3,5.6
Araria,Rajokhar,Rural,14.4,1.6,2.3,99.2,0.8
Araria,Hyatpur,Rural,24.9,0.5,1.9,97.8,0.3
Araria,Hasanpur,Rural,0,0,0,100,0
Araria,Itahara,Rural,7.9,0,5.9,98.7,0.7
Araria,Basantpur,Rural,51.9,1.7,1.3,99.2,0.5
Araria,Barakamatchistipur,Rural,41.8,2.7,0.9,72.7,0.9
Araria,Rampur Mohanpur,Rural,40.8,1.6,1.6,98.6,0.4
Araria,Bhagsadullah Gachh Kola,Rural,48.7,0,0,98.3,0
Araria,Salaigarh,Rural,28.7,10.3,5.1,100,0
Araria,Rangdaha,Rural,87,65.2,0,100,0
Araria,Kharhar,Rural,88.3,0,0,98.4,0
Araria,Farasat,Rural,72.8,1.5,2.2,97.3,2.3
Araria,Araria,Rural,33.2,3.4,2.8,98.2,1.2
Araria,Azmatpur,Rural,75.7,4.4,2.9,97.1,2.2
Araria,Belbari,Rural,29.5,0,1.8,100,0
Araria,Milik,Rural,0,0,5.6,88.9,11.1
Araria,Kochgawan,Rural,26.4,1.3,1.4,99.9,0
Araria,Lahtora,Rural,11.1,9.4,3.2,98.9,0.6
Araria,Bishunpur,Rural,62.8,0,0,100,0
Araria,Lodipur,Rural,12,0.3,3.1,94.8,4.5
Araria,Kusiargaon,Rural,12.5,0.1,6.4,99.6,0.1
